TILEMAP
48 26 							-- Size of tile map in tiles
8 8 							-- Tile size & block size
images/blocks/paret_64x16.png 	-- Tilesheet
8 2							-- Number of tiles in tilesheet
123232323232323232323232323232323232323232323231
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
1                                              1
123232323232323232323232323232323232323232323231
